"filename", "language", "SCSS", "JavaScript React", "Markdown", "JSON", "HTML", "CSS", "JavaScript", "comment", "blank", "total"
"d:\CF Intro to frontend web development\myFlix-client\README.md", "Markdown", 0, 0, 9, 0, 0, 0, 0, 0, 9, 18
"d:\CF Intro to frontend web development\myFlix-client\dist\index.011f33b6.css", "CSS", 0, 0, 0, 0, 0, 3, 0, 1, 2, 6
"d:\CF Intro to frontend web development\myFlix-client\dist\index.6701a6e1.js", "JavaScript", 0, 0, 0, 0, 0, 0, 32120, 5559, 362, 38041
"d:\CF Intro to frontend web development\myFlix-client\dist\index.caa67093.css", "CSS", 0, 0, 0, 0, 0, 3, 0, 1, 1, 5
"d:\CF Intro to frontend web development\myFlix-client\dist\index.html", "HTML", 0, 0, 0, 0, 9, 0, 0, 0, 1, 10
"d:\CF Intro to frontend web development\myFlix-client\package-lock.json", "JSON", 0, 0, 0, 7187, 0, 0, 0, 0, 1, 7188
"d:\CF Intro to frontend web development\myFlix-client\package.json", "JSON", 0, 0, 0, 29, 0, 0, 0, 0, 1, 30
"d:\CF Intro to frontend web development\myFlix-client\src\components\login-view\login-view.jsx", "JavaScript React", 0, 79, 0, 0, 0, 0, 0, 48, 9, 136
"d:\CF Intro to frontend web development\myFlix-client\src\components\login-view\login-view.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\CF Intro to frontend web development\myFlix-client\src\components\main-view\main-view.jsx", "JavaScript React", 0, 99, 0, 0, 0, 0, 0, 89, 16, 204
"d:\CF Intro to frontend web development\myFlix-client\src\components\main-view\main.-view.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\CF Intro to frontend web development\myFlix-client\src\components\movie-card\movie-card.jsx", "JavaScript React", 0, 30, 0, 0, 0, 0, 0, 17, 4, 51
"d:\CF Intro to frontend web development\myFlix-client\src\components\movie-card\movie-card.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\CF Intro to frontend web development\myFlix-client\src\components\movie-view\movie-view.jsx", "JavaScript React", 0, 31, 0, 0, 0, 0, 0, 38, 2, 71
"d:\CF Intro to frontend web development\myFlix-client\src\components\movie-view\movie-view.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\CF Intro to frontend web development\myFlix-client\src\components\registration-view\registration-view.jsx", "JavaScript React", 0, 95, 0, 0, 0, 0, 0, 4, 11, 110
"d:\CF Intro to frontend web development\myFlix-client\src\components\registration-view\registration-view.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\CF Intro to frontend web development\myFlix-client\src\index.html", "HTML", 0, 0, 0, 0, 13, 0, 0, 0, 0, 13
"d:\CF Intro to frontend web development\myFlix-client\src\index.jsx", "JavaScript React", 0, 16, 0, 0, 0, 0, 0, 11, 9, 36
"d:\CF Intro to frontend web development\myFlix-client\src\index.scss", "SCSS", 4, 0, 0, 0, 0, 0, 0, 0, 2, 6
"Total", "-", 4, 350, 9, 7216, 22, 6, 32120, 5768, 435, 45930